Pathway	GeneID	Symbol	Description	Salt24h_vs_CK_log2FC	Salt24h_vs_CK_padj	Salt48h_vs_CK_log2FC	Salt48h_vs_CK_padj	Salt48h_vs_24h_log2FC	Salt48h_vs_24h_padj
Glycine	CL6573.Contig4_All	sp|Q9FR53|TOR_ARATH/1e-51/Serine/threonine-protein kinase TOR OS=Arabidopsis thaliana GN=TOR PE=1 SV=1	gi|474391874|gb|EMS65402.1|/0/Serine hydroxymethyltransferase, mitochondrial [Triticum urartu]	-0.3502	NA	-0.2957	NA	0.0544	NA
Carotenoid	CL6576.Contig2_All	sp|Q84KG5|CCD_CROSA/0.0/Carotenoid 9,10(9',10')-cleavage dioxygenase OS=Crocus sativus GN=CCD PE=1 SV=1	gi|226858194|gb|ACO87672.1|/0/carotenoid cleavage dioxygenase, partial [Brachypodium sylvaticum]	0.2776	NA	1.3741	NA	1.0965	NA
Carotenoid	CL6576.Contig4_All	sp|Q84KG5|CCD_CROSA/0.0/Carotenoid 9,10(9',10')-cleavage dioxygenase OS=Crocus sativus GN=CCD PE=1 SV=1	gi|226858194|gb|ACO87672.1|/0/carotenoid cleavage dioxygenase, partial [Brachypodium sylvaticum]	-0.4293	NA	0.6485	NA	1.0778	NA
Protein_Kinase_Signalling	CL6582.Contig1_All	sp|P0C5E2|Y1839_ARATH/1e-08/Probable serine/threonine-protein kinase At1g18390 OS=Arabidopsis thaliana GN=At1g18390 PE=2 SV=2	gi|960462687|ref|XP_014753447.1|/1.63093e-79/PREDICTED: probable receptor-like protein kinase At1g67000 [Brachypodium distachyon] &gt;gi|944067099|gb|KQK02583.1| hypothetical protein BRADI_2g02490 [Brachypodium distachyon]	0	NA	0.1705	NA	0.1705	NA
Protein_Kinase_Signalling	CL6582.Contig2_All	sp|P0C5E2|Y1839_ARATH/2e-08/Probable serine/threonine-protein kinase At1g18390 OS=Arabidopsis thaliana GN=At1g18390 PE=2 SV=2	gi|960462687|ref|XP_014753447.1|/1.82123e-77/PREDICTED: probable receptor-like protein kinase At1g67000 [Brachypodium distachyon] &gt;gi|944067099|gb|KQK02583.1| hypothetical protein BRADI_2g02490 [Brachypodium distachyon]	0.0605	NA	-0.2104	NA	-0.271	NA
Protein_Kinase_Signalling	CL6582.Contig3_All	sp|P0C5E2|Y1839_ARATH/5e-09/Probable serine/threonine-protein kinase At1g18390 OS=Arabidopsis thaliana GN=At1g18390 PE=2 SV=2	gi|960462687|ref|XP_014753447.1|/4.71837e-78/PREDICTED: probable receptor-like protein kinase At1g67000 [Brachypodium distachyon] &gt;gi|944067099|gb|KQK02583.1| hypothetical protein BRADI_2g02490 [Brachypodium distachyon]	-0.4525	NA	-0.2498	NA	0.2027	NA
Transcription	CL6584.Contig1_All	sp|Q9LXV5|NFYA1_ARATH/4e-36/Nuclear transcription factor Y subunit A-1 OS=Arabidopsis thaliana GN=NFYA1 PE=2 SV=1	gi|357118482|ref|XP_003560983.1|/5.87361e-130/PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|721607093|ref|XP_010231280.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459714|ref|XP_014752975.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459717|ref|XP_014752976.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|944078327|gb|KQK13679.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon] &gt;gi|944078329|gb|KQK13681.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon]	1.0722	NA	-0.4736	NA	-1.5458	NA
Transcription	CL6584.Contig2_All	sp|Q9LXV5|NFYA1_ARATH/3e-36/Nuclear transcription factor Y subunit A-1 OS=Arabidopsis thaliana GN=NFYA1 PE=2 SV=1	gi|357118482|ref|XP_003560983.1|/1.13651e-132/PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|721607093|ref|XP_010231280.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459714|ref|XP_014752975.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459717|ref|XP_014752976.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|944078327|gb|KQK13679.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon] &gt;gi|944078329|gb|KQK13681.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon]	-0.3497	NA	-2.1395	NA	-1.7898	NA
Transcription	CL6584.Contig3_All	sp|Q9LXV5|NFYA1_ARATH/5e-36/Nuclear transcription factor Y subunit A-1 OS=Arabidopsis thaliana GN=NFYA1 PE=2 SV=1	gi|357118482|ref|XP_003560983.1|/1.44655e-129/PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|721607093|ref|XP_010231280.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459714|ref|XP_014752975.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459717|ref|XP_014752976.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|944078327|gb|KQK13679.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon] &gt;gi|944078329|gb|KQK13681.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon]	-0.2286	NA	-2.1586	NA	-1.9299	NA
Transcription	CL6584.Contig4_All	sp|Q9LXV5|NFYA1_ARATH/2e-36/Nuclear transcription factor Y subunit A-1 OS=Arabidopsis thaliana GN=NFYA1 PE=2 SV=1	gi|357118482|ref|XP_003560983.1|/5.92353e-129/PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|721607093|ref|XP_010231280.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459714|ref|XP_014752975.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459717|ref|XP_014752976.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|944078327|gb|KQK13679.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon] &gt;gi|944078329|gb|KQK13681.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon]	-0.0708	NA	-1.4612	NA	-1.3904	NA
Transcription	CL6584.Contig5_All	sp|Q9LXV5|NFYA1_ARATH/1e-35/Nuclear transcription factor Y subunit A-1 OS=Arabidopsis thaliana GN=NFYA1 PE=2 SV=1	gi|357118482|ref|XP_003560983.1|/4.4767e-117/PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|721607093|ref|XP_010231280.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459714|ref|XP_014752975.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459717|ref|XP_014752976.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|944078327|gb|KQK13679.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon] &gt;gi|944078329|gb|KQK13681.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon]	-0.3818	NA	-1.4992	NA	-1.1174	NA
Transcription	CL6584.Contig6_All	sp|Q9LXV5|NFYA1_ARATH/6e-37/Nuclear transcription factor Y subunit A-1 OS=Arabidopsis thaliana GN=NFYA1 PE=2 SV=1	gi|357118482|ref|XP_003560983.1|/4.81295e-137/PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|721607093|ref|XP_010231280.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459714|ref|XP_014752975.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459717|ref|XP_014752976.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|944078327|gb|KQK13679.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon] &gt;gi|944078329|gb|KQK13681.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon]	0.1191	NA	-1.2976	NA	-1.4167	NA
Transcription	CL6584.Contig7_All	sp|Q9LXV5|NFYA1_ARATH/7e-37/Nuclear transcription factor Y subunit A-1 OS=Arabidopsis thaliana GN=NFYA1 PE=2 SV=1	gi|357118482|ref|XP_003560983.1|/6.99709e-137/PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|721607093|ref|XP_010231280.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459714|ref|XP_014752975.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|960459717|ref|XP_014752976.1| PREDICTED: nuclear transcription factor Y subunit A-4-like [Brachypodium distachyon] &gt;gi|944078327|gb|KQK13679.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon] &gt;gi|944078329|gb|KQK13681.1| hypothetical protein BRADI_1g11800 [Brachypodium distachyon]	-0.7481	NA	-2.0857	NA	-1.3375	NA
Transcription	CL6585.Contig1_All		gi|475549244|gb|EMT11226.1|/0/Transcription factor IIIB 70 kDa subunit [Aegilops tauschii]	-0.1831	NA	-0.0494	NA	0.1336	NA
Transcription	CL6585.Contig2_All		gi|475549244|gb|EMT11226.1|/0/Transcription factor IIIB 70 kDa subunit [Aegilops tauschii]	0.4054	NA	0.2199	NA	-0.1855	NA
Serine	CL6589.Contig3_All	sp|Q9MA15|Y1796_ARATH/1e-24/Uncharacterized aarF domain-containing protein kinase At1g79600, chloroplastic OS=Arabidopsis thaliana GN=At1g79600 PE=2 SV=1	gi|721695433|ref|XP_010240552.1|/0/PREDICTED: probable serine/threonine-protein kinase abkC [Brachypodium distachyon] &gt;gi|944049452|gb|KQJ85093.1| hypothetical protein BRADI_5g24836 [Brachypodium distachyon]	0.0872	NA	0.2551	NA	0.1679	NA
Protein_Kinase_Signalling	CL6592.Contig1_All		gi|193848577|gb|ACF22762.1|/6.00468e-21/protein kinase [Brachypodium distachyon]	0.6521	NA	1.0544	NA	0.4024	NA
Cysteine	CL6598.Contig1_All	sp|O22682|CYSK4_ARATH/5e-138/Probable S-sulfocysteine synthase, chloroplastic OS=Arabidopsis thaliana GN=At3g03630 PE=1 SV=1	gi|721645581|ref|XP_003564468.2|/0/PREDICTED: cysteine synthase-like [Brachypodium distachyon] &gt;gi|944074809|gb|KQK10293.1| hypothetical protein BRADI_2g53170 [Brachypodium distachyon]	1.1553	NA	4.5064	NA	3.3511	NA
Cysteine	CL6598.Contig2_All	sp|O22682|CYSK4_ARATH/3e-140/Probable S-sulfocysteine synthase, chloroplastic OS=Arabidopsis thaliana GN=At3g03630 PE=1 SV=1	gi|721645581|ref|XP_003564468.2|/0/PREDICTED: cysteine synthase-like [Brachypodium distachyon] &gt;gi|944074809|gb|KQK10293.1| hypothetical protein BRADI_2g53170 [Brachypodium distachyon]	1.0175	NA	3.8082	NA	2.7907	NA
Cysteine	CL6598.Contig3_All	sp|O22682|CYSK4_ARATH/7e-139/Probable S-sulfocysteine synthase, chloroplastic OS=Arabidopsis thaliana GN=At3g03630 PE=1 SV=1	gi|721645581|ref|XP_003564468.2|/0/PREDICTED: cysteine synthase-like [Brachypodium distachyon] &gt;gi|944074809|gb|KQK10293.1| hypothetical protein BRADI_2g53170 [Brachypodium distachyon]	0.2384	NA	3.3955	NA	3.1571	NA
Inositol	CL66.Contig2_All		gi|474199324|gb|EMS58471.1|/3.45502e-09/Inositol-tetrakisphosphate 1-kinase 2 [Triticum urartu]	-0.1444	NA	0.0765	NA	0.2208	NA
Inositol	CL66.Contig3_All		gi|474199324|gb|EMS58471.1|/1.60202e-11/Inositol-tetrakisphosphate 1-kinase 2 [Triticum urartu]	-0.3711	NA	-0.6226	NA	-0.2515	NA
Inositol	CL66.Contig6_All	sp|Q9SUG3|ITPK2_ARATH/2e-126/Inositol-tetrakisphosphate 1-kinase 2 OS=Arabidopsis thaliana GN=ITPK2 PE=2 SV=2	gi|115451713|ref|NP_001049457.1|/0/Os03g0230500 [Oryza sativa Japonica Group] &gt;gi|122247335|sp|Q10PL5.1|ITPK2_ORYSJ RecName: Full=Inositol-tetrakisphosphate 1-kinase 2; AltName: Full=Inositol 1,3,4-trisphosphate 5/6-kinase 2; Short=Inositol-triphosphate 5/6-kinase 2; Short=Ins(1,3,4)P(3) 5/6-kinase 2; Short=OsITP5/6K-2; Short=OsITPK2; AltName: Full=OsITL1; AltName: Full=Protein DROUGHT- AND SALT-SENSITIVE MUTANT 3; Short=OsDSM3 &gt;gi|754306542|sp|B8AJL9.1|ITPK2_ORYSI RecName: Full=Inositol-tetrakisphosphate 1-kinase 2; AltName: Full=Inositol 1,3,4-trisphosphate 5/6-kinase 2; Short=Inositol-triphosphate 5/6-kinase 2; Short=Ins(1,3,4)P(3) 5/6-kinase 2; Short=OsITP5/6K-2; Short=OsITPK2 &gt;gi|33303695|gb|AAQ02374.1| inositol 1,3,4-trisphosphate 5/6-kinase [Oryza sativa] &gt;gi|108706985|gb|ABF94780.1| inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed [Oryza sativa Japonica Group] &gt;gi|113547928|dbj|BAF11371.1| Os03g0230500 [Oryza sativa Japonica Group] &gt;gi|215704830|dbj|BAG94858.1| unnamed protein product [Oryza sativa Japonica Group] &gt;gi|218192383|gb|EEC74810.1| hypothetical protein OsI_10626 [Oryza sativa Indica Group] &gt;gi|937908178|dbj|BAS83098.1| Os03g0230500 [Oryza sativa Japonica Group]	-4.3658	NA	-3.8094	NA	0.5564	NA
Inositol	CL66.Contig8_All	sp|Q9SUG3|ITPK2_ARATH/1e-133/Inositol-tetrakisphosphate 1-kinase 2 OS=Arabidopsis thaliana GN=ITPK2 PE=2 SV=2	gi|115451713|ref|NP_001049457.1|/0/Os03g0230500 [Oryza sativa Japonica Group] &gt;gi|122247335|sp|Q10PL5.1|ITPK2_ORYSJ RecName: Full=Inositol-tetrakisphosphate 1-kinase 2; AltName: Full=Inositol 1,3,4-trisphosphate 5/6-kinase 2; Short=Inositol-triphosphate 5/6-kinase 2; Short=Ins(1,3,4)P(3) 5/6-kinase 2; Short=OsITP5/6K-2; Short=OsITPK2; AltName: Full=OsITL1; AltName: Full=Protein DROUGHT- AND SALT-SENSITIVE MUTANT 3; Short=OsDSM3 &gt;gi|754306542|sp|B8AJL9.1|ITPK2_ORYSI RecName: Full=Inositol-tetrakisphosphate 1-kinase 2; AltName: Full=Inositol 1,3,4-trisphosphate 5/6-kinase 2; Short=Inositol-triphosphate 5/6-kinase 2; Short=Ins(1,3,4)P(3) 5/6-kinase 2; Short=OsITP5/6K-2; Short=OsITPK2 &gt;gi|33303695|gb|AAQ02374.1| inositol 1,3,4-trisphosphate 5/6-kinase [Oryza sativa] &gt;gi|108706985|gb|ABF94780.1| inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed [Oryza sativa Japonica Group] &gt;gi|113547928|dbj|BAF11371.1| Os03g0230500 [Oryza sativa Japonica Group] &gt;gi|215704830|dbj|BAG94858.1| unnamed protein product [Oryza sativa Japonica Group] &gt;gi|218192383|gb|EEC74810.1| hypothetical protein OsI_10626 [Oryza sativa Indica Group] &gt;gi|937908178|dbj|BAS83098.1| Os03g0230500 [Oryza sativa Japonica Group]	0.658	NA	0.3225	NA	-0.3355	NA
Ubiquitin_Proteasome	CL660.Contig4_All		gi|357127051|ref|XP_003565199.1|/5.81627e-13/PREDICTED: E3 ubiquitin-protein ligase listerin [Brachypodium distachyon] &gt;gi|944076359|gb|KQK11843.1| hypothetical protein BRADI_2g62760 [Brachypodium distachyon]	4.7004	NA	4.3219	NA	-0.3785	NA
Protein_Kinase_Signalling	CL6606.Contig1_All	sp|Q8RWZ5|SD25_ARATH/2e-62/G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5 OS=Arabidopsis thaliana GN=SD25 PE=1 SV=1	gi|475533468|gb|EMT08394.1|/6.22964e-139/Putative receptor protein kinase ZmPK1 [Aegilops tauschii]	-0.7905	NA	1.3663	NA	2.1569	NA
Serine	CL6625.Contig1_All	sp|Q9LNG5|PPP7L_ARATH/5e-10/Serine/threonine-protein phosphatase 7 long form homolog OS=Arabidopsis thaliana GN=At1g48120 PE=2 SV=1	gi|960485337|ref|XP_014757815.1|/7.19848e-37/PREDICTED: serine/threonine-protein phosphatase 7 long form homolog [Brachypodium distachyon]	-2.6397	NA	-4.9877	NA	-2.3479	NA
Translation	CL663.Contig1_All	sp|Q9LHP1|RL74_ARATH/4e-124/60S ribosomal protein L7-4 OS=Arabidopsis thaliana GN=RPL7D PE=2 SV=1	gi|357125156|ref|XP_003564261.1|/2.41747e-147/PREDICTED: 60S ribosomal protein L7-2 [Brachypodium distachyon] &gt;gi|721605168|ref|XP_010228147.1| PREDICTED: 60S ribosomal protein L7-2 [Brachypodium distachyon] &gt;gi|944077270|gb|KQK12622.1| hypothetical protein BRADI_1g04950 [Brachypodium distachyon] &gt;gi|944077271|gb|KQK12623.1| hypothetical protein BRADI_1g04950 [Brachypodium distachyon]	0.3932	NA	0.5178	NA	0.1246	NA
Translation	CL663.Contig2_All	sp|Q9LHP1|RL74_ARATH/3e-124/60S ribosomal protein L7-4 OS=Arabidopsis thaliana GN=RPL7D PE=2 SV=1	gi|357125156|ref|XP_003564261.1|/7.67606e-147/PREDICTED: 60S ribosomal protein L7-2 [Brachypodium distachyon] &gt;gi|721605168|ref|XP_010228147.1| PREDICTED: 60S ribosomal protein L7-2 [Brachypodium distachyon] &gt;gi|944077270|gb|KQK12622.1| hypothetical protein BRADI_1g04950 [Brachypodium distachyon] &gt;gi|944077271|gb|KQK12623.1| hypothetical protein BRADI_1g04950 [Brachypodium distachyon]	-0.1177	NA	0.09	NA	0.2077	NA
Translation	CL663.Contig3_All	sp|Q9LHP1|RL74_ARATH/3e-121/60S ribosomal protein L7-4 OS=Arabidopsis thaliana GN=RPL7D PE=2 SV=1	gi|357125156|ref|XP_003564261.1|/2.15812e-139/PREDICTED: 60S ribosomal protein L7-2 [Brachypodium distachyon] &gt;gi|721605168|ref|XP_010228147.1| PREDICTED: 60S ribosomal protein L7-2 [Brachypodium distachyon] &gt;gi|944077270|gb|KQK12622.1| hypothetical protein BRADI_1g04950 [Brachypodium distachyon] &gt;gi|944077271|gb|KQK12623.1| hypothetical protein BRADI_1g04950 [Brachypodium distachyon]	0.0987	NA	0.1363	NA	0.0376	NA
Transcription	CL6630.Contig1_All	sp|Q9LNC4|GTE4_ARATH/7e-40/Transcription factor GTE4 OS=Arabidopsis thaliana GN=GTE4 PE=2 SV=1	gi|357144694|ref|XP_003573382.1|/1.71604e-162/PREDICTED: transcription factor GTE7-like [Brachypodium distachyon] &gt;gi|944059466|gb|KQJ95056.1| hypothetical protein BRADI_3g14940 [Brachypodium distachyon]	0.7692	NA	0.4018	NA	-0.3674	NA
Transcription	CL6630.Contig2_All	sp|Q9LNC4|GTE4_ARATH/5e-41/Transcription factor GTE4 OS=Arabidopsis thaliana GN=GTE4 PE=2 SV=1	gi|357144694|ref|XP_003573382.1|/5.3143e-166/PREDICTED: transcription factor GTE7-like [Brachypodium distachyon] &gt;gi|944059466|gb|KQJ95056.1| hypothetical protein BRADI_3g14940 [Brachypodium distachyon]	0.737	NA	0.4225	NA	-0.3144	NA
Zeaxanthin	CL6634.Contig11_All	sp|Q0JCU7|ZEP_ORYSJ/1e-08/Zeaxanthin epoxidase, chloroplastic OS=Oryza sativa subsp. japonica GN=ZEP PE=2 SV=1	gi|375152136|gb|AFA36526.1|/9.06544e-08/zeaxanthin epoxidase, partial [Lolium perenne]	1.1917	NA	0.7155	NA	-0.4761	NA
Zeaxanthin	CL6634.Contig3_All	sp|Q0JCU7|ZEP_ORYSJ/2e-06/Zeaxanthin epoxidase, chloroplastic OS=Oryza sativa subsp. japonica GN=ZEP PE=2 SV=1	sp|Q0JCU7|ZEP_ORYSJ/2e-06/Zeaxanthin epoxidase, chloroplastic OS=Oryza sativa subsp. japonica GN=ZEP PE=2 SV=1	0.3002	NA	-1.9517	NA	-2.2519	NA
Zeaxanthin	CL6634.Contig5_All	sp|Q0JCU7|ZEP_ORYSJ/3e-08/Zeaxanthin epoxidase, chloroplastic OS=Oryza sativa subsp. japonica GN=ZEP PE=2 SV=1	gi|375152136|gb|AFA36526.1|/2.0383e-07/zeaxanthin epoxidase, partial [Lolium perenne]	-0.415	NA	0.7127	NA	1.1278	NA
Zeaxanthin	CL6634.Contig8_All	sp|Q0JCU7|ZEP_ORYSJ/3e-08/Zeaxanthin epoxidase, chloroplastic OS=Oryza sativa subsp. japonica GN=ZEP PE=2 SV=1	gi|375152136|gb|AFA36526.1|/2.08123e-07/zeaxanthin epoxidase, partial [Lolium perenne]	1.3763	NA	1.2775	NA	-0.0987	NA
Zeaxanthin	CL6634.Contig9_All	sp|Q0JCU7|ZEP_ORYSJ/6e-08/Zeaxanthin epoxidase, chloroplastic OS=Oryza sativa subsp. japonica GN=ZEP PE=2 SV=1	gi|375152136|gb|AFA36526.1|/3.83201e-07/zeaxanthin epoxidase, partial [Lolium perenne]	1.167	NA	1.0766	NA	-0.0904	NA
Purine	CL6635.Contig1_All		gi|475619539|gb|EMT30804.1|/1.5978e-06/tRNA (guanine-N(7)-)-methyltransferase [Aegilops tauschii]	-7.1898	NA	-7.1898	NA	0	NA
Purine	CL6635.Contig6_All		gi|475619539|gb|EMT30804.1|/2.04874e-06/tRNA (guanine-N(7)-)-methyltransferase [Aegilops tauschii]	-7.3038	NA	-7.3038	NA	0	NA
Sucrose	CL6644.Contig1_All	sp|Q6YXW6|SPP2_ORYSJ/0.0/Sucrose-phosphatase 2 OS=Oryza sativa subsp. japonica GN=SPP2 PE=1 SV=1	gi|357111334|ref|XP_003557469.1|/0/PREDICTED: sucrose-phosphatase 2 [Brachypodium distachyon] &gt;gi|721619767|ref|XP_010228269.1| PREDICTED: sucrose-phosphatase 2 [Brachypodium distachyon] &gt;gi|944085202|gb|KQK20554.1| hypothetical protein BRADI_1g55300 [Brachypodium distachyon]	1.2559	NA	1.585	NA	0.3291	NA
Sucrose	CL6644.Contig11_All	sp|Q94E75|SPP1_ORYSJ/0.0/Probable sucrose-phosphatase 1 OS=Oryza sativa subsp. japonica GN=SPP1 PE=2 SV=1	gi|28190685|gb|AAO33159.1|AF493562_1/0/sucrose-phosphatase [Hordeum vulgare subsp. vulgare]	1.1699	NA	-4	NA	-5.1699	NA
Sucrose	CL6644.Contig12_All	sp|Q94E75|SPP1_ORYSJ/0.0/Probable sucrose-phosphatase 1 OS=Oryza sativa subsp. japonica GN=SPP1 PE=2 SV=1	gi|28190685|gb|AAO33159.1|AF493562_1/0/sucrose-phosphatase [Hordeum vulgare subsp. vulgare]	-0.0186	NA	0.693	NA	0.7115	NA
Sucrose	CL6644.Contig2_All	sp|Q94E75|SPP1_ORYSJ/0.0/Probable sucrose-phosphatase 1 OS=Oryza sativa subsp. japonica GN=SPP1 PE=2 SV=1	gi|28190685|gb|AAO33159.1|AF493562_1/0/sucrose-phosphatase [Hordeum vulgare subsp. vulgare]	0.8334	NA	0.9306	NA	0.0971	NA
Sucrose	CL6644.Contig4_All	sp|Q94E75|SPP1_ORYSJ/0.0/Probable sucrose-phosphatase 1 OS=Oryza sativa subsp. japonica GN=SPP1 PE=2 SV=1	gi|357111334|ref|XP_003557469.1|/0/PREDICTED: sucrose-phosphatase 2 [Brachypodium distachyon] &gt;gi|721619767|ref|XP_010228269.1| PREDICTED: sucrose-phosphatase 2 [Brachypodium distachyon] &gt;gi|944085202|gb|KQK20554.1| hypothetical protein BRADI_1g55300 [Brachypodium distachyon]	0.6803	NA	0.7791	NA	0.0988	NA
Sucrose	CL6644.Contig5_All	sp|Q94E75|SPP1_ORYSJ/0.0/Probable sucrose-phosphatase 1 OS=Oryza sativa subsp. japonica GN=SPP1 PE=2 SV=1	gi|28190685|gb|AAO33159.1|AF493562_1/0/sucrose-phosphatase [Hordeum vulgare subsp. vulgare]	1.4322	NA	1.7189	NA	0.2867	NA
Sucrose	CL6644.Contig6_All	sp|Q94E75|SPP1_ORYSJ/0.0/Probable sucrose-phosphatase 1 OS=Oryza sativa subsp. japonica GN=SPP1 PE=2 SV=1	gi|28190685|gb|AAO33159.1|AF493562_1/0/sucrose-phosphatase [Hordeum vulgare subsp. vulgare]	-1.1255	NA	-8.9069	NA	-7.7814	NA
Sucrose	CL6644.Contig7_All	sp|Q94E75|SPP1_ORYSJ/0.0/Probable sucrose-phosphatase 1 OS=Oryza sativa subsp. japonica GN=SPP1 PE=2 SV=1	gi|12958605|gb|AAK09371.1|AF321556_1/0/sucrose-6F-phosphate phosphohydrolase SPP1 [Triticum aestivum]	-0.1575	NA	0.1269	NA	0.2845	NA
Tyrosine	CL666.Contig1_All		gi|475546926|gb|EMT10778.1|/6.80663e-145/Tyrosyl-tRNA synthetase [Aegilops tauschii]	0.2073	NA	-0.2039	NA	-0.4113	NA
Tyrosine	CL666.Contig10_All		gi|475603706|gb|EMT25504.1|/2.39364e-136/Tyrosyl-tRNA synthetase [Aegilops tauschii]	1.263	NA	0.3898	NA	-0.8732	NA
Tyrosine	CL666.Contig11_All		gi|475592214|gb|EMT22012.1|/9.12982e-142/Tyrosyl-tRNA synthetase [Aegilops tauschii]	0.0706	NA	-0.5904	NA	-0.661	NA
Tyrosine	CL666.Contig12_All		gi|475592214|gb|EMT22012.1|/3.9908e-150/Tyrosyl-tRNA synthetase [Aegilops tauschii]	-0.5678	NA	-1.2155	NA	-0.6477	NA
Tyrosine	CL666.Contig13_All		gi|475546926|gb|EMT10778.1|/1.13173e-147/Tyrosyl-tRNA synthetase [Aegilops tauschii]	-0.3253	NA	-0.9955	NA	-0.6701	NA
Tyrosine	CL666.Contig14_All		gi|475592214|gb|EMT22012.1|/3.74423e-137/Tyrosyl-tRNA synthetase [Aegilops tauschii]	1.433	NA	1.433	NA	0	NA
Tyrosine	CL666.Contig15_All		gi|475592214|gb|EMT22012.1|/2.72333e-150/Tyrosyl-tRNA synthetase [Aegilops tauschii]	-0.1175	NA	-0.5673	NA	-0.4498	NA
Tyrosine	CL666.Contig16_All		gi|475592214|gb|EMT22012.1|/2.93329e-140/Tyrosyl-tRNA synthetase [Aegilops tauschii]	0.5978	NA	-0.2615	NA	-0.8593	NA
Tyrosine	CL666.Contig17_All		gi|475546926|gb|EMT10778.1|/2.09423e-47/Tyrosyl-tRNA synthetase [Aegilops tauschii]	0.2536	NA	0.4174	NA	0.1638	NA
Tyrosine	CL666.Contig2_All		gi|475546926|gb|EMT10778.1|/8.0551e-99/Tyrosyl-tRNA synthetase [Aegilops tauschii]	3.0041	NA	1.4713	NA	-1.5328	NA
Tyrosine	CL666.Contig3_All		gi|475592214|gb|EMT22012.1|/1.17481e-139/Tyrosyl-tRNA synthetase [Aegilops tauschii]	2.3772	NA	1.4626	NA	-0.9145	NA
Tyrosine	CL666.Contig4_All		gi|475592214|gb|EMT22012.1|/4.5112e-154/Tyrosyl-tRNA synthetase [Aegilops tauschii]	-0.8619	NA	-1.3664	NA	-0.5045	NA
Tyrosine	CL666.Contig6_All		gi|475592214|gb|EMT22012.1|/2.83014e-134/Tyrosyl-tRNA synthetase [Aegilops tauschii]	0.6903	NA	0.3861	NA	-0.3043	NA
Tyrosine	CL666.Contig7_All		gi|475592214|gb|EMT22012.1|/5.3989e-146/Tyrosyl-tRNA synthetase [Aegilops tauschii]	0.9546	NA	0.1623	NA	-0.7924	NA
