Pathway	GeneID	Symbol	Description	HL_vs_ML_log2FC	HL_vs_ML_padj
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.0242184	0.944146
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.73495	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.670521	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.841275	0.0339856
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.491817	0.00244384
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.319264	0.0144549
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.552548	0.000202999
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.584868	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.2008	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.656829	0.000565493
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.760352	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.0872821	0.838926
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.75609	0.00106626
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.728905	0.000202999
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.102877	0.491793
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.0795512	0.820425
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.64267	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.592641	0.000388788
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-1.31307	0.00106626
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.601891	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.298781	0.025758
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.603917	0.000202999
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.551027	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.1438	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.269759	0.158841
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.624358	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.164888	0.684563
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.927343	0.00926368
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.66451	0.000202999
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.171887	0.218731
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.0853207	0.808669
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.13872	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.0227601	0.923065
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-1.31713	0.00106626
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.41297	0.01202
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.327431	0.0135344
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.411008	0.00547471
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.172027	0.251587
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.485082	0.00229643
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.445065	0.0186036
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.474167	0.000388788
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.00640043	0.975354
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.138379	0.68596
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.0229472	0.907329
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.000821678	0.996585
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.275209	0.37718
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.283901	0.0537404
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.0558469	0.803
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-1.25149	0.0021481
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.00415348	0.990771
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.079685	0.606134
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.296152	0.056644
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.0985821	0.537263
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.228986	0.164365
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.0227169	0.920563
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.227738	0.109234
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.483073	0.247955
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.0940189	0.790544
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.154033	0.366368
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.365857	0.00507971
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.176234	0.613316
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-0.982255	0.0048127
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.0697595	0.682657
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.112443	0.598317
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-1.07686	0.00765737
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.0391028	0.855836
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.383471	0.00273469
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.82449	0.000202999
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.354607	0.0163763
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.118296	0.496524
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.106407	0.603842
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.281323	0.0397394
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.174302	0.678689
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	3.02779	0.00302142
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.311973	0.0486578
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.251203	0.061413
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.0468031	0.899353
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.82215	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.594818	0.000388788
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.882642	0.0256539
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-1.61448	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.103785	0.489518
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.817868	0.000202999
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.516193	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.08378	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	1.57178	0.000202999
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.314686	0.0160419
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.387813	0.283761
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	2.30428	0.00122728
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.478986	0.0015413
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.0380848	0.814839
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.45539	0.178755
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.23987	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.634571	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.357849	0.414801
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-1.69707	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.17908	0.201577
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.757744	0.000202999
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.546256	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.16683	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.295848	0.115067
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.0426535	0.794739
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.150624	0.730219
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.970041	0.0117859
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.430968	0.00507971
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.118712	0.421455
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.13557	0.690756
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.944814	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.110379	0.597244
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.895568	0.0239751
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.582799	0.000388788
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.266783	0.0491221
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.35414	0.0200211
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.0807603	0.625108
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.304527	0.059254
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.517115	0.00507971
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.248513	0.0726172
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.0126105	0.975382
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.09482	0.0130694
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.428073	0.00765737
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.337695	0.00901978
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.0139173	0.978778
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	1.63507	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.37941	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.933213	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.404477	0.241268
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.108772	0.574972
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.646511	0.000202999
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.0795295	0.619074
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.781718	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.3067	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.031287	0.899018
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.059422	0.720012
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.183059	0.642384
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.800868	0.0354659
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.527936	0.00106626
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.196397	0.154616
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.275823	0.406296
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	2.18745	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.50505	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.943653	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.169612	0.665658
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.535635	0.00106626
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.420121	0.00106626
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.0728593	0.656845
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.610912	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.06903	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.177108	0.43027
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.560406	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.0201277	0.976832
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.45093	0.00507971
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.636314	0.000202999
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.165496	0.24745
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.331155	0.309728
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	1.92763	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.41277	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.865772	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.641407	0.0499575
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.645709	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.399639	0.00138519
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.0214904	0.905557
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.57707	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.01203	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.209962	0.313437
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.424413	0.00258918
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.0977342	0.814384
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.622189	0.0950919
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.571919	0.000736335
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0964864	0.519639
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.336925	0.303302
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	3.66235	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.908824	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.250372	0.210441
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.645463	0.0481893
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.456788	0.0048127
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.428288	0.0016951
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.214399	0.150506
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.19807	0.182378
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.353304	0.035168
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.0346555	0.890793
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.274222	0.0516301
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.0607539	0.887001
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.443533	0.158206
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.0696438	0.708338
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.267551	0.0484702
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.526813	0.0819937
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	3.84035	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.0540003	0.756789
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.328979	0.0857449
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.579824	0.0796131
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.0479713	0.816443
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.0211722	0.896192
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.329255	0.025758
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.0725385	0.661484
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.0972083	0.601563
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.457004	0.0145696
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.0277923	0.874605
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.550227	0.175848
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.399173	0.209115
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.0614418	0.749705
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.0974838	0.522771
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.0753701	0.842091
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	1.36304	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.160141	0.300519
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.160689	0.448876
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.405195	0.239272
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.004715	0.981079
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.282614	0.0325923
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.199083	0.172571
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.328564	0.0274172
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.0134814	0.950312
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.373313	0.049029
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.0813777	0.613034
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.241457	0.54708
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	2.72264	0.00440823
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.219382	0.186362
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0171697	0.920245
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.298407	0.361128
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	1.77781	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.59224	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.86795	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.210979	0.580713
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-1.6583	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.204642	0.13703
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.19246	0.188608
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.542236	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.952004	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	1.09206	0.000202999
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.514632	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.320658	0.376176
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.99912	0.00399968
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.386395	0.0151354
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.230288	0.0917402
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.203786	0.584472
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	2.55333	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.00996	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.907703	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.313815	0.440936
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-1.74089	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.279938	0.0373174
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.132336	0.386716
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.5723	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.03506	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.183873	0.384001
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.157292	0.28836
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.217778	0.593423
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.664887	0.0834163
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.338377	0.0370245
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.149661	0.299729
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.387175	0.214958
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	2.74966	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.714913	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.383511	0.0455672
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.223905	0.553667
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.626617	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.36764	0.0048127
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.271268	0.0680384
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.106804	0.514566
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.172749	0.321474
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.0373942	0.880932
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.0485676	0.767837
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.0545438	0.900245
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.305154	0.353855
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.092591	0.602482
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.268373	0.0466005
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.251604	0.455404
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	2.3453	0.000202999
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.229901	0.126444
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.273132	0.17264
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.671663	0.0995422
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.0438178	0.83595
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.100857	0.499413
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.625407	0.000202999
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.0260436	0.885576
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.131777	0.454876
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.479721	0.00938543
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.199946	0.156541
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.0671543	0.879168
